Species,Rank,Factor Score,Assessed Last Cycle,Pseudo Revenue Coastwide,Pseudo Revenue CA,Pseudo Revenue OR,Pseudo Revenue WA,Species Importance CA,Species Importance OR,Species Importance WA,Catch Coastwide,Catch CA,Catch OR,Catch WA,Management Group
Arrowtooth flounder,43,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,species specific
Aurora rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,minor slope rockfish
Bank rockfish,37,0.76,0,0.9,0.9,0,0,0.9,0,0,1,1,0,0,minor slope rockfish
Big skate,43,0,0,0,0,0,0,0.5,0,0,0.4,0,0.4,0,species specific
Black rockfish,7,7.79,-2,6710.1,1380.4,3389.9,1939.7,2,2,2,3355,690.2,1695,969.9,species specific
Blackgill rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,minor slope rockfish
Blue/Deacon rockfish,2,9.19,0,3104.3,2722.3,362.9,19,1.82,1.9,1.8,1697.4,1495.8,191,10.6,minor nearshore rockfish
Bocaccio,6,7.82,0,935.3,910.4,2,22.9,1.86,0.6,1.3,510.4,489.5,3.4,17.6,species specific
Brown rockfish,8,7.35,0,619.7,619.3,0.4,0,1.45,0.5,0,428,427.1,0.8,0,minor nearshore rockfish
Cabezon,10,6.46,0,283.8,147.5,110.9,25.4,1.14,1.5,0.75,237.2,129.4,73.9,33.8,other groundfish
California scorpionfish,5,7.84,0,947.6,947.6,0,0,1.75,0,0,541.5,541.5,0,0,species specific
Canary rockfish,13,5.87,-2,1251.4,592.2,452.9,206.3,1.9,1.9,2,653.2,311.7,238.4,103.2,species specific
Chilipepper,24,3.98,0,31.6,31.6,0,0,1.86,0,0,17.2,17,0.2,0,species specific
China rockfish,21,5.2,0,93.4,71.3,14.5,7.7,1.06,1.2,1,87,67.3,12,7.7,minor nearshore rockfish
Copper rockfish,15,5.69,-2,1074.5,1015.3,48.4,10.8,1.78,1.5,1,613.5,570.4,32.3,10.8,minor nearshore rockfish
Cowcod,28,3.5,0,20.4,20.4,0,0,1.5,0,0,13.6,13.6,0,0,minor shelf rockfish
Curlfin sole,43,0,0,0,0,0,0,0,0,0,0,0,0,0,other flatfish
Darkblotched rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,species specific
Dover sole,42,0.01,0,0,0,0,0,0.5,0.3,0.25,0,0,0,0,species specific
English sole,41,0.04,0,0,0,0,0,0.5,0.3,0.25,0.1,0,0.1,0,species specific
Flag rockfish,23,4.54,0,51.9,51.9,0,0,1.48,0,0,35.1,35,0,0,minor shelf rockfish
Flathead sole,43,0,0,0,0,0,0,0,0,0.25,0,0,0,0,other flatfish
Gopher/Black and Yellow rockfish,9,6.46,0,284.3,284.3,0,0,1.13,0,0,251.8,251.6,0.2,0,minor nearshore rockfish
Grass rockfish,30,2.87,0,11.3,11.3,0,0,0.91,0,0,12.7,12.5,0.3,0,minor nearshore rockfish
Greenspotted rockfish,20,5.23,0,95.9,95.9,0,0,1.37,0,0,71.2,70,1.2,0,minor shelf rockfish
Greenstriped rockfish,32,2.35,0,6.8,6.8,0,0,1,0,0,7.5,6.8,0.6,0,minor shelf rockfish
Honeycomb rockfish,29,3.35,0,17.7,17.7,0,0,1.25,0,0,14.2,14.2,0,0,minor shelf rockfish
Kelp greenling,17,5.45,0,116.2,24.1,87.4,4.7,1.19,0.8,0.75,135.8,20.3,109.2,6.3,other groundfish
Kelp rockfish,27,3.6,0,22.3,22.3,0,0,1.14,0,0,19.7,19.6,0.1,0,minor nearshore rockfish
Leopard shark,43,0,0,0,0,0,0,0,0,0,107,107,0,0,other groundfish
Lingcod,1,10,0,6294.4,2977.8,1778.9,1537.7,2,2,2,3147.2,1488.9,889.5,768.9,species specific
Longnose skate,40,0.15,0,0.1,0,0.1,0,0,0.2,0,0.7,0,0.7,0,species specific
Longspine thornyhead,43,0,0,0,0,0,0,0,0,0,0,0,0,0,species specific
Olive rockfish,11,6.32,0,251,251,0,0,1.16,0,0,216.4,216.4,0,0,minor nearshore rockfish
Pacific cod,31,2.46,0,7.6,0,0,7.6,0,0,1.3,6.2,0,0.4,5.8,species specific
Pacific ocean perch,43,0,0,0,0,0,0,0,0,0,0,0,0,0,species specific
Pacific sanddab,22,5.16,0,90.4,89.8,0.6,0,0.82,0.5,0.75,110.8,109.5,1.3,0,other flatfish
Pacific spiny dogfish,33,2.29,0,6.4,6.4,0,0,0.3,0,0,21.7,21.5,0.2,0,species specific
Petrale sole,35,1.36,-2,23.4,12.4,11,0,0.62,0.7,0.75,35.7,19.9,15.7,0,species specific
Quillback rockfish,14,5.78,0,156.3,98.3,48.1,9.9,2,1.5,1,91.1,49.2,32,9.9,minor nearshore rockfish
Redbanded rockfish,43,0,0,0,0,0,0,0.8,0,0,0,0,0,0,minor slope rockfish
Redstripe rockfish,43,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,minor shelf rockfish
Rex sole,43,0,-2,0,0,0,0,0.5,0,0.25,0,0,0,0,other flatfish
Rock sole,34,2.03,0,4.9,4.9,0,0,0.65,0,0.75,7.6,7.6,0.1,0,other flatfish
Rosethorn rockfish,43,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,minor shelf rockfish
Rosy rockfish,43,0,0,0,0,0,0,0,0,0,50.1,49.9,0.2,0,minor shelf rockfish
Rougheye/Blackspotted rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,minor slope rockfish
Sablefish,39,0.3,-2,8.6,0.9,7.7,0,0.5,0.7,1.75,12.8,1.7,11.1,0,species specific
Sand sole,38,0.74,0,0.9,0.4,0.5,0,0.65,0.7,0.25,1.3,0.5,0.8,0,other flatfish
Sharpchin rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,minor slope rockfish
Shortraker rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,minor slope rockfish
Shortspine thornyhead,43,0,-2,0,0,0,0,0,0,0,0,0,0,0,species specific
Silvergray rockfish,43,0,0,0,0,0,0,0,0,0,1.6,0,1.6,0,minor shelf rockfish
Speckled rockfish,25,3.83,0,27.4,27.4,0,0,1,0,0,27.4,27.4,0,0,minor shelf rockfish
Splitnose rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,minor slope rockfish
Squarespot rockfish,16,5.5,0,122.3,122.3,0,0,1.8,0,0,68,68,0,0,minor shelf rockfish
Starry flounder,36,1.12,0,1.7,1.6,0.1,0,0.65,0.5,0.75,2.6,2.5,0.1,0,species specific
Starry rockfish,12,6.02,0,193.4,193.4,0,0,1.1,0,0,175.9,175.9,0,0,minor shelf rockfish
Stripetail rockfish,43,0,0,0,0,0,0,0,0,0,0,0,0,0,minor shelf rockfish
Treefish,26,3.82,0,27.4,27.4,0,0,0.7,0,0,39.1,39.1,0,0,minor nearshore rockfish
Vermilion/Sunset rockfish,3,9,0,2612.5,2560.9,45,6.6,1.9,1.15,1,1393.6,1347.8,39.2,6.6,minor shelf rockfish
Widow rockfish,19,5.29,0,101.4,75.2,26.2,0,1.3,1,1.5,84,57.9,26.2,0,species specific
Yelloweye rockfish,18,5.4,0,111.3,39.6,42.5,29.2,1.9,1.8,2,59,20.9,23.6,14.6,species specific
Yellowmouth rockfish,43,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,minor slope rockfish
Yellowtail rockfish,4,8.14,0,1232,402.8,276.1,553.1,1.15,1.5,2,810.9,350.3,184.1,276.5,species specific
